The date,Region,The town/village,County/City,Initial year of exploitation ,Building Total Area,Room volume,Average floor height,Reference area,Above-ground floors,Underground floor,Mansard,Roof floor,Initial energy class ,Energy consumption before,Heat energy consumption before,Carbon dioxide emissions before,Carrying out construction works ,Reconstruction of engineering systems,Water heating system,Heat installation,Energy class after,Heat energy consumption after,Consumption for hot water after,Consumption for mechanical ventilation after,Consumption for lighting after,Consumption for cooling after,Energy consumption after,Heat saving for heating,Total energy consumption saving,Saving of heat energy ,Primary non-renewable energy,Primary total energy consumption,Almost zero energy building,Carbon dioxide emission tons after,Carbon dioxide emission after,Area of the external surface,Average heat transfer coefficient,Average heat transfer coefficient_1,Building calculated heat loss coefficient,Building allowable heat loss coefficient,Indoor temperature heating,Indoor temperature for cooling,Air exchange rate,Ventilation heat loss coefficient,Energy resource for heating 1,Energy resource for heating 2,Energy resource for hot water 1,Energy resource for hot water 2,Energy resource for ventilation,Energy resource for cooling 1,Energy resource for cooling 2,CO2 emission factor for heating 1,CO2 emission factor for heating 2,CO2 emission factor for hot water 1,CO2 emission factor for hot water 2,CO2 emission factor for ventilation,CO2 emission factor for cooling 1,CO2 emission factor for cooling 2,Non-renewable factor for heating 1,Non-renewable factor for heating 2,Non-renewable factor for water 1,Non-renewable factor for water 2,Non-renewable factor for ventilation,Non-renewable factor for cooling 1,Non-renewable factor for cooling 2,Renewable factor for heating 1,Renewable factor for heating 2,Renewable factor for water 1,Renewable factor for water 2,Renewable factor for ventilation,Renewable factor for cooling 1,Renewable factor for cooling 2,Total factor for heating 1,Total factor for heating 2,Total factor for water 1,Total factor for water 2,Total factor for ventilation,Total factor for cooling 1,Total factor for cooling 2
2023,Rīgas,town1,county1,2016,158.4,331.82,2.36,140.6,2,0,1,0,D,133.0,111.0,28.8,1,1,0,0,C,75,22,5,0,0,103,36.0,30.0,32.43,129.0,135.0,0,3.03,21.53,431.0,0.3,0.3,1.0,1.23,19.4,25,0.49,0.13,Gas,Electricity from the grid,Gas,Electricity from the grid,Electricity from the grid,-,-,202.0,109,202,109,109,-,-,1.1,1.9,1.1,1.9,1.9,-,-,0.0,0.6,0,0.6,0.6,-,-,1.1,2.5,1.1,2.5,2.5,-,-
2023,Zemgales,town2,county2,2007,244.97,615.01,2.64,232.96,2,0,0,0,D,144.41,124.1,5.46,1,1,0,0,C,88,20,1,0,20,129,36.1,15.41,29.09,43.0,135.0,0,1.37,5.86,668.0,0.29,0.3,1.1,1.12,20.0,0,0.47,0.39,Solid biofuel,Centralized heat supply from a specific supplier,Centralized heat supply from a specific supplier,-,Electricity from the grid,Electricity from the grid,-,40.0,37.8,37.8,-,109,109,-,0.2,0.15,0.15,-,1.9,1.9,-,1.0,0.55,0.55,-,0.6,0.6,-,1.2,0.7,0.7,-,2.5,2.5,-
2022,Rīgas,town3,county3,2017,212.5,316.75,2.18,145.3,2,1,1,0,D,118.7,96.3,5.75,0,1,0,0,B,62,22,6,0,0,91,34.3,27.7,35.62,35.0,137.0,0,0.69,4.78,348.0,0.3,0.29,0.78,0.95,20.0,25,0.53,0.14,Electricity from the grid,Solid biofuel,Electricity from the grid,Solid biofuel,Electricity from the grid,-,-,109.0,40,109,40,109,-,-,1.9,0.2,1.9,0.2,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1.2,2.5,1.2,2.5,-,-
2022,Rīgas,town4,county4,1982,79.3,153.12,2.4,63.8,2,0,0,0,E,170.17,152.46,37.76,1,0,0,0,C,80,18,1,0,0,98,72.46,72.17,47.53,120.0,121.0,0,1.4,21.97,178.0,0.36,0.31,1.28,1.56,20.0,27,0.39,0.31,Gas,-,Gas,-,Electricity from the grid,-,-,202.0,-,202,-,109,-,-,1.1,-,1.1,-,1.9,-,-,0.0,-,0,-,0.6,-,-,1.1,-,1.1,-,2.5,-,-
2022,Rīgas,town5,county4,1982,69.3,153.12,2.4,63.8,2,0,0,0,E,170.17,152.46,38.2,1,0,0,0,C,88,18,1,0,0,106,64.46,64.17,42.28,130.0,131.0,0,1.52,23.8,187.0,0.37,0.33,1.44,1.74,20.0,27,0.39,0.31,Gas,-,Gas,-,Electricity from the grid,-,-,202.0,-,202,-,109,-,-,1.1,-,1.1,-,1.9,-,-,0.0,-,0,-,0.6,-,-,1.1,-,1.1,-,2.5,-,-
2022,Rīgas,town1,county5,2019,161.6,417.61,2.89,144.5,1,0,0,0,D,151.0,129.0,5.03,1,1,0,0,C,82,22,7,0,0,112,47.0,39.0,36.43,75.0,171.0,0,0.63,4.35,524.0,0.26,0.31,0.99,1.41,20.0,25,0.48,0.13,Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,-,-,109.0,0,109,0,109,-,-,1.9,0,1.9,0,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1,2.5,1,2.5,-,-
2022,Rīgas,town1,county1,2020,176.8,420.66,3.42,123.0,1,0,0,0,D,126.5,106.1,23.1,0,1,0,0,B,60,20,8,0,0,89,46.1,37.5,43.45,101.0,109.0,0,1.9,15.48,450.0,0.18,0.24,0.72,1.15,20.0,25,0.46,0.14,Electricity from the grid,Gas,Gas,Electricity from the grid,Electricity from the grid,-,-,109.0,202,202,109,109,-,-,1.9,1.1,1.1,1.9,1.9,-,-,0.6,0,0,0.6,0.6,-,-,2.5,1.1,1.1,2.5,2.5,-,-
2022,Zemgales,town6,county6,2021,121.3,333.58,2.75,121.3,1,0,0,0,D,156.8,127.0,7.57,0,1,0,0,C,89,30,7,0,0,125,38.0,31.8,29.92,45.0,187.0,0,0.79,6.49,536.0,0.24,0.27,1.13,1.62,20.0,25,0.48,0.16,Electricity from the grid,Solid biofuel,Electricity from the grid,Solid biofuel,Electricity from the grid,-,-,109.0,40,109,40,109,-,-,1.9,0.2,1.9,0.2,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1.2,2.5,1.2,2.5,-,-
2022,Rīgas,town7,county7,2010,365.7,443.44,2.3,192.8,2,1,1,0,D,158.6,125.1,9.75,1,0,0,0,C,69,25,0,0,8,103,56.1,55.6,44.84,158.0,178.0,0,0.96,4.97,479.0,0.25,0.3,0.66,0.92,20.0,20,0.4,0.31,Wood/wood waste,,Electricity from the grid,,,Electricity from the grid,-,15.6,-,109,-,-,109,-,1.1,-,1.9,-,-,1.9,-,0.0,-,0.6,-,-,0.6,-,1.1,-,2.5,-,-,2.5,-
2022,Kurzemes,town8,county8,1958,118.9,292.5,2.6,112.5,2,0,0,0,D,129.02,108.92,28.96,1,1,1,0,C,86,20,3,0,0,109,22.92,20.02,21.04,73.0,167.0,0,0.48,4.22,468.0,0.35,0.26,1.73,1.8,20.0,27,0.25,0.21,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,Electricity from the grid,-,-,0.0,109,0,109,109,-,-,0.0,1.9,0,1.9,1.9,-,-,1.0,0.6,1,0.6,0.6,-,-,1.0,2.5,1,2.5,2.5,-,-
2022,Rīgas,town9,county9,1973,158.3,322.65,2.39,135.0,1,1,0,0,F,176.01,151.29,7.04,1,1,0,0,C,70,25,0,0,0,95,81.29,81.01,53.73,19.0,114.0,0,0.51,3.8,432.0,0.34,0.26,1.09,0.85,20.0,27,0.4,0.33,Solid biofuel,-,Solid biofuel,-,-,-,-,40.0,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1.0,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
2022,Rīgas,town10,county10,2021,141.8,278.7,3.0,92.9,1,0,0,0,D,130.66,105.51,0.0,1,1,0,0,B,74,25,2,0,0,102,31.51,28.66,29.86,4.0,64.0,0,0.03,0.27,350.0,0.29,0.39,1.1,1.5,20.0,25,0.37,0.1,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",-,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",-,Electricity from the grid,-,-,0.0,-,0,-,109,-,-,0.0,-,0,-,1.9,-,-,1.0,-,1,-,0.6,-,-,1.0,-,1,-,2.5,-,-
2022,Zemgales,town2,county2,2021,223.5,314.72,2.8,136.8,1,0,0,0,D,121.0,98.0,5.85,0,1,0,0,B,63,27,7,0,0,98,35.0,23.0,35.71,40.0,149.0,0,0.59,5.27,436.0,0.18,0.27,0.77,1.39,20.0,25,0.55,0.19,Electricity from the grid,Solid biofuel,Solid biofuel,Electricity from the grid,Electricity from the grid,-,-,109.0,40,40,109,109,-,-,1.9,0.2,0.2,1.9,1.9,-,-,0.6,1,1,0.6,0.6,-,-,2.5,1.2,1.2,2.5,2.5,-,-
2022,Rīgas,town11,county11,1986,161.5,255.25,2.5,102.1,2,1,1,0,F,189.24,174.94,7.57,1,0,0,0,C,77,23,0,0,0,100,97.94,89.24,55.98,212.0,121.0,0,2.28,22.36,309.0,0.27,0.28,0.83,0.85,19.0,25,0.41,0.35,Gas,-,Gas,-,-,-,-,202.0,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0.0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
2022,Rīgas,town12,county12,1987,162.0,363.38,2.55,199.0,2,1,0,0,F,199.0,162.0,38.75,1,0,0,0,C,90,20,0,0,17,127,72.0,72.0,44.44,153.0,164.0,0,3.44,24.12,441.0,0.29,0.3,0.97,1.18,20.0,20,0.36,0.31,Gas,-,Gas,-,-,Electricity from the grid,-,202.0,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2022,Rīgas,,county13,2008,165.6,404.83,2.47,163.9,2,0,1,0,E,164.3,138.1,35.82,1,0,0,0,C,79,26,0,0,0,105,59.1,59.3,42.8,127.0,128.0,0,3.74,22.81,443.0,0.26,0.28,0.76,1.04,20.0,25,0.4,0.33,Electricity from the grid,Gas,Electricity from the grid,Gas,-,-,-,109.0,202,109,202,-,-,-,1.9,1.1,1.9,1.1,-,-,-,0.6,0,0.6,0,-,-,-,2.5,1.1,2.5,1.1,-,-,-
2022,Rīgas,town13,county4,2008,211.7,495.02,2.65,186.8,2,1,0,0,D,161.8,115.6,30.87,0,1,0,0,C,90,26,0,0,22,137,25.6,24.8,22.15,168.0,181.0,0,4.8,25.68,662.0,0.34,0.33,1.23,1.4,20.0,20,0.36,0.32,Gas,-,Gas,-,-,Electricity from the grid,-,202.0,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2022,Rīgas,town14,county11,2019,237.8,407.47,2.27,179.5,2,0,1,0,D,123.0,105.0,5.98,0,1,0,0,C,69,17,6,0,0,92,36.0,31.0,34.29,37.0,140.0,0,0.88,4.92,508.0,0.29,0.29,0.88,1.07,20.0,25,0.49,0.07,Electricity from the grid,Solid biofuel,Electricity from the grid,Solid biofuel,Electricity from the grid,-,-,109.0,40,109,40,109,-,-,1.9,0.2,1.9,0.2,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1.2,2.5,1.2,2.5,-,-
2022,Rīgas,town12,county12,2004,128.0,336.96,2.7,124.8,2,0,0,1,D,145.0,97.0,10.09,1,0,0,0,C,75,30,0,0,18,123,22.0,22.0,22.68,194.0,223.0,0,0.84,6.7,329.0,0.28,0.32,0.8,1.09,20.0,20,0.36,0.33,Wood/wood waste,-,Electricity from the grid,-,-,Electricity from the grid,-,15.6,-,109,-,-,109,-,1.1,-,1.9,-,-,1.9,-,0.0,-,0.6,-,-,0.6,-,1.1,-,2.5,-,-,2.5,-
2022,Zemgales,town15,county14,1925,104.5,381.47,2.45,97.1,1,0,1,0,E,192.0,172.6,5.48,1,0,0,0,C,80,16,0,0,0,96,92.6,96.0,53.65,141.0,150.0,0,0.52,3.32,426.0,0.22,0.25,0.73,0.83,20.0,27,0.36,0.29,Wood/wood waste,-,Electricity from the grid,-,-,-,-,15.6,-,109,-,-,-,-,1.1,-,1.9,-,-,-,-,0.0,-,0.6,-,-,-,-,1.1,-,2.5,-,-,-,-
2022,Zemgales,town2,county2,1998,144.6,371.62,2.57,144.6,2,0,0,0,C,96.6,72.5,52.61,0,1,0,0,B,57,24,3,0,0,87,15.5,9.6,21.38,144.0,151.0,0,5.99,51.4,452.0,0.29,0.31,0.91,0.95,19.5,27,0.75,0.66,Electricity from the grid,Coal (anthracite),Coal (anthracite),-,Electricity from the grid,-,-,109.0,354,354,-,109,-,-,1.9,1.1,1.1,-,1.9,-,-,0.6,0,0,-,0.6,-,-,2.5,1.1,1.1,-,2.5,-,-
2022,Kurzemes,town16,county15,2009,249.3,381.51,2.33,163.74,2,0,0,0,C,92.0,71.0,4.1,1,1,0,0,A,50,21,28,0,34,133,21.0,-41.0,29.58,0.0,132.0,0,0.0,0.0,452.0,0.33,0.33,0.95,1.14,20.4,22.4,0.49,0.39,Photovoltaic cells,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Photovoltaic cells,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Photovoltaic cells,Photovoltaic cells,-,0.0,0,0,0,0,0,-,0.0,0,0,0,0,0,-,1.0,1,1,1,1,1,-,1.0,1,1,1,1,1,-
2022,Rīgas,town1,county1,1999,336.0,568.0,2.5,227.0,2,1,0,1,D,136.0,109.0,27.0,1,0,0,0,C,82,22,0,0,6,110,27.0,26.0,24.77,125.0,128.0,0,4.91,21.62,518.0,0.3,0.3,0.7,0.8,20.0,20,0.4,0.3,Gas,-,Gas,-,-,Electricity from the grid,-,202.0,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2022,Rīgas,town17,county1,2002,198.0,540.54,2.73,198.0,2,0,1,0,F,171.9,155.9,31.92,1,1,0,0,C,82,16,7,0,0,105,73.9,66.9,47.4,115.0,121.0,0,3.72,18.8,495.0,0.35,0.27,0.93,0.92,20.0,25,0.46,0.11,Gas,Electricity from the grid,Gas,Electricity from the grid,Electricity from the grid,-,-,202.0,109,202,109,109,-,-,1.1,1.9,1.1,1.9,1.9,-,-,0.0,0.6,0,0.6,0.6,-,-,1.1,2.5,1.1,2.5,2.5,-,-
2022,Rīgas,town18,county16,1970,232.1,135.0,2.48,135.0,2,1,0,0,C,108.0,80.0,4.6,1,0,0,0,B,55,29,0,0,0,84,25.0,24.0,31.25,35.0,128.0,0,0.61,4.54,308.0,0.34,0.36,0.82,0.99,20.4,22.4,0.35,0.3,Solid biofuel,-,Electricity from the grid,Solid biofuel,-,-,-,40.0,-,109,40,-,-,-,0.2,-,1.9,0.2,-,-,-,1.0,-,0.6,1,-,-,-,1.2,-,2.5,1.2,-,-,-
2022,Rīgas,town3,county3,2018,212.6,488.98,2.3,212.6,2,1,0,1,E,172.1,149.3,34.37,1,0,0,0,C,86,18,0,0,6,110,63.3,62.1,42.4,126.0,129.0,0,4.62,21.75,564.0,0.32,0.26,0.88,0.87,20.0,20,0.36,0.28,Gas,-,Gas,-,-,Electricity from the grid,-,202.0,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2022,Rīgas,,county13,1960,157.2,411.05,2.5,153.17,2,1,0,0,F,209.37,195.06,42.3,1,1,0,0,C,75,13,2,0,0,90,120.06,119.37,61.55,110.0,111.0,0,3.29,20.0,475.0,0.3,0.3,0.73,0.73,20.0,25,0.36,0.07,Gas,-,Gas,-,Electricity from the grid,-,-,202.0,-,202,-,109,-,-,1.1,-,1.1,-,1.9,-,-,0.0,-,0,-,0.6,-,-,1.1,-,1.1,-,2.5,-,-
2022,Rīgas,town19,county17,1973,102.9,244.97,2.62,93.5,1,0,0,0,D,173.08,137.77,34.96,1,0,0,0,C,81,35,0,0,0,116,56.77,57.08,41.21,128.0,128.0,0,2.2,23.53,352.0,0.26,0.3,0.97,1.12,20.0,27,0.5,0.45,Gas,-,Gas,-,-,-,-,202.0,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0.0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
2022,Rīgas,town20,county4,2022,139.7,264.74,2.65,99.9,1,0,0,0,D,131.2,100.0,26.7,0,1,0,0,A,58,31,6,0,20,115,42.0,16.2,42.0,124.0,133.0,0,1.92,19.24,377.0,0.19,0.27,0.77,1.32,20.0,25,0.56,0.2,Electricity from the grid,Gas,Electricity from the grid,Gas,Electricity from the grid,Electricity from the grid,-,109.0,202,109,202,109,109,-,1.9,1.1,1.9,1.1,1.9,1.9,-,0.6,0,0.6,0,0.6,0.6,-,2.5,1.1,2.5,1.1,2.5,2.5,-
2022,Rīgas,town21,county18,2009,194.5,429.93,2.44,176.2,2,0,1,0,D,115.0,99.0,3.76,0,1,0,0,C,66,16,6,0,0,88,33.0,27.0,33.33,59.0,135.0,0,0.6,3.41,441.0,0.34,0.31,0.92,1.07,20.0,25,0.47,0.08,Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,-,-,109.0,0,109,0,109,-,-,1.9,0,1.9,0,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1,2.5,1,2.5,-,-
2022,Rīgas,town22,county13,1962,76.1,212.0,3.15,73.66,1,1,0,0,F,253.0,215.0,8.25,1,1,0,0,C,95,42,8,0,0,144,120.0,109.0,55.81,95.0,219.0,0,0.37,5.51,350.0,0.24,0.26,1.35,1.86,20.0,25,0.45,0.09,Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,-,-,109.0,0,109,0,109,-,-,1.9,0,1.9,0,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1,2.5,1,2.5,-,-
2022,Kurzemes,town23,county19,1930,99.5,248.75,2.5,96.0,2,0,0,0,D,160.7,124.3,6.43,1,0,0,0,B,62,36,0,0,0,99,62.3,61.7,50.12,19.0,118.0,0,0.39,3.95,259.0,0.36,0.35,1.0,1.86,20.0,25,0.37,0.44,Solid biofuel,-,Solid biofuel,-,-,-,-,40.0,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1.0,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
2022,Rīgas,town17,county1,1995,219.1,297.93,2.23,133.6,1,1,1,0,F,185.37,159.1,8.24,1,0,0,0,C,70,26,0,0,20,116,89.1,69.37,56.0,35.0,152.0,0,0.7,5.25,376.0,0.3,0.3,0.9,1.2,18.0,0,0.5,0.4,Solid biofuel,-,Solid biofuel,-,-,Electricity from the grid,-,40.0,-,40,-,-,109,-,0.2,-,0.2,-,-,1.9,-,1.0,-,1,-,-,0.6,-,1.2,-,1.2,-,-,2.5,-
2022,Rīgas,town13,county4,1985,245.8,374.0,76.0,155.5,2,1,0,0,F,207.6,175.2,6.47,1,0,0,0,C,66,29,0,0,0,96,109.2,111.6,62.33,96.0,105.0,0,3.0,19.3,422.0,0.35,0.28,1.26,2.6,18.0,25,0.48,0.24,Gas,-,Gas,-,-,-,-,202.0,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0.0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
2022,Rīgas,town12,county12,1900,368.8,775.22,2.7,287.12,2,1,0,0,D,97.2,110.7,5.99,1,0,0,0,C,77,8,0,0,6,91,33.7,6.2,30.44,128.0,131.0,0,0.66,2.31,699.0,0.25,0.26,0.63,0.84,20.0,20,0.4,0.37,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2022,Kurzemes,town24,county20,1938,87.0,328.08,4.19,78.0,1,0,1,0,D,210.0,140.0,12.0,1,0,0,0,C,86,20,0,0,20,156,54.0,54.0,38.57,123.0,266.0,0,0.77,9.8,357.0,0.25,0.33,1.12,1.51,18.0,26,0.35,0.5,Solid biofuel,-,Electricity from the grid,-,-,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,40.0,-,109,-,-,0,109,0.2,-,1.9,-,-,0,1.9,1.0,-,0.6,-,-,1,0.6,1.2,-,2.5,-,-,1,2.5
2022,Rīgas,town10,county10,1984,94.6,192.58,2.66,72.4,1,1,0,0,F,263.04,237.9,10.52,1,0,0,0,B,66,25,0,0,0,91,171.9,172.04,72.26,18.0,109.0,0,0.26,3.65,291.0,0.22,0.25,0.9,1.01,20.0,27,0.5,0.46,Solid biofuel,-,Solid biofuel,-,-,-,-,40.0,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1.0,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
2022,Kurzemes,town25,county19,1930,152.9,303.06,2.08,145.7,2,0,0,0,D,139.0,124.4,5.56,1,0,0,0,C,85,16,0,0,0,101,39.4,38.0,31.67,20.0,121.0,0,0.59,4.04,261.0,0.26,0.25,1.12,2.13,19.0,25,0.49,0.39,Solid biofuel,-,Solid biofuel,-,-,-,-,40.0,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1.0,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
2022,Rīgas,town26,county11,2010,293.5,592.28,2.6,218.4,3,0,0,0,D,117.04,107.14,5.39,1,0,0,0,C,85,10,0,0,0,95,22.14,22.04,20.66,104.0,104.0,0,4.37,19.19,691.0,0.49,0.31,1.43,2.37,18.0,25,0.48,0.45,Gas,-,Gas,-,-,-,-,202.0,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0.0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
2022,Rīgas,,county21,1968,135.3,343.66,2.54,135.3,2,0,0,0,E,246.45,173.45,49.78,1,0,0,0,C,82,71,0,0,0,153,91.45,93.45,52.72,168.0,168.0,0,2.56,18.92,345.0,0.3,0.4,0.8,1.0,20.0,24,0.5,0.4,Gas,-,Gas,-,-,-,-,56.1,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0.0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
2022,Rīgas,town1,county22,2005,174.1,314.78,2.25,139.9,1,0,1,0,D,122.44,106.0,27.48,1,1,0,0,C,76,16,2,0,20,114,30.0,8.44,28.3,133.0,141.0,0,2.94,21.05,402.0,0.43,0.29,1.29,1.18,19.0,0,0.71,0.37,Electricity from the grid,Gas,Gas,-,Electricity from the grid,Electricity from the grid,-,109.0,202,202,-,109,109,-,1.9,1.1,1.1,-,1.9,1.9,-,0.6,0,0,-,0.6,0.6,-,2.5,1.1,1.1,-,2.5,2.5,-
