The date,Region,The town/village,County/City,Initial year of exploitation ,Building Total Area,Room volume,Average floor height,Reference area,Above-ground floors,Underground floor,Mansard,Roof floor,Initial energy class ,Energy consumption before,Heat energy consumption before,Carbon dioxide emissions before,Carrying out construction works ,Reconstruction of engineering systems,Water heating system,Heat installation,Energy class after,Heat energy consumption after,Consumption for hot water after,Consumption for mechanical ventilation after,Consumption for lighting after,Consumption for cooling after,Energy consumption after,Heat saving for heating,Total energy consumption saving,Saving of heat energy ,Primary non-renewable energy,Primary total energy consumption,Almost zero energy building,Carbon dioxide emission tons after,Carbon dioxide emission after,Area of the external surface,Average heat transfer coefficient,Average heat transfer coefficient_1,Building calculated heat loss coefficient,Building allowable heat loss coefficient,Indoor temperature heating,Indoor temperature for cooling,Air exchange rate,Ventilation heat loss coefficient,Energy resource for heating 1,Energy resource for heating 2,Energy resource for hot water 1,Energy resource for hot water 2,Energy resource for ventilation,Energy resource for cooling 1,Energy resource for cooling 2,CO2 emission factor for heating 1,CO2 emission factor for heating 2,CO2 emission factor for hot water 1,CO2 emission factor for hot water 2,CO2 emission factor for ventilation,CO2 emission factor for cooling 1,CO2 emission factor for cooling 2,Non-renewable factor for heating 1,Non-renewable factor for heating 2,Non-renewable factor for water 1,Non-renewable factor for water 2,Non-renewable factor for ventilation,Non-renewable factor for cooling 1,Non-renewable factor for cooling 2,Renewable factor for heating 1,Renewable factor for heating 2,Renewable factor for water 1,Renewable factor for water 2,Renewable factor for ventilation,Renewable factor for cooling 1,Renewable factor for cooling 2,Total factor for heating 1,Total factor for heating 2,Total factor for water 1,Total factor for water 2,Total factor for ventilation,Total factor for cooling 1,Total factor for cooling 2
2022,Rīgas,town10,county23,2003,238.0,355.8,2.62,135.8,2,1,0,0,D,123.36,145.69,5.83,1,0,0,0,C,83,22,0,0,0,105,62.69,18.36,43.03,58.0,155.0,0,0.78,5.75,442.0,0.28,0.29,0.9,0.93,20.0,27,0.4,0.35,Solid biofuel,-,Electricity from the grid,-,-,-,-,40.0,-,109,-,-,-,-,0.2,-,1.9,-,-,-,-,1.0,-,0.6,-,-,-,-,1.2,-,2.5,-,-,-,-
2022,Rīgas,town17,county22,2018,271.4,405.29,2.34,173.2,2,0,0,0,D,130.39,102.15,26.34,0,1,0,0,C,81,0,0,0,0,81,21.15,49.39,20.7,88.0,88.0,0,2.83,16.33,547.0,0.41,0.32,1.3,1.01,20.0,27,0.4,0.32,Gas,-,-,-,-,-,-,202.0,-,-,-,-,-,-,1.1,-,-,-,-,-,-,0.0,-,-,-,-,-,-,1.1,-,-,-,-,-,-
2022,Zemgales,town2,county2,1971,193.8,462.0,2.64,175.0,2,0,1,0,E,201.1,146.6,37.13,1,0,0,0,C,72,35,0,0,20,126,74.6,75.1,50.89,126.0,144.0,0,3.85,21.98,643.0,0.36,0.35,1.34,1.28,17.0,26,0.3,0.28,Gas,-,Gas,-,-,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,202.0,-,202,-,-,0,109,1.1,-,1.1,-,-,0,1.9,0.0,-,0,-,-,1,0.6,1.1,-,1.1,-,-,1,2.5
2022,Rīgas,town17,county22,2014,351.6,776.72,2.8,277.4,3,0,1,0,D,106.04,85.24,21.42,1,1,0,0,C,68,21,1,0,0,90,17.24,16.04,20.23,108.0,108.0,0,5.43,19.57,849.0,0.35,0.45,1.08,1.37,17.6,26,0.32,0.23,Gas,-,Gas,-,Electricity from the grid,-,-,202.0,-,202,-,109,-,-,1.1,-,1.1,-,1.9,-,-,0.0,-,0,-,0.6,-,-,1.1,-,1.1,-,2.5,-,-
2022,Rīgas,town27,county18,2014,224.6,345.84,2.41,143.5,2,1,0,0,F,239.2,218.3,11.42,1,1,0,0,C,82,21,4,0,0,108,136.3,131.2,62.44,37.0,159.0,0,0.79,5.5,429.0,0.32,0.31,1.02,1.22,20.0,25,0.49,0.12,Electricity from the grid,Solid biofuel,Electricity from the grid,Solid biofuel,Electricity from the grid,-,-,109.0,40,109,40,109,-,-,1.9,0.2,1.9,0.2,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1.2,2.5,1.2,2.5,-,-
2022,Rīgas,town28,county18,2007,189.8,324.63,2.45,132.5,2,0,1,0,D,125.0,102.0,27.07,1,1,0,0,B,57,23,6,0,0,86,45.0,39.0,44.12,109.0,115.0,0,2.38,17.98,354.0,0.29,0.31,0.83,1.11,20.0,25,0.45,0.05,Electricity from the grid,Gas,Electricity from the grid,Gas,Electricity from the grid,-,-,109.0,202,109,202,109,-,-,1.9,1.1,1.9,1.1,1.9,-,-,0.6,0,0.6,0,0.6,-,-,2.5,1.1,2.5,1.1,2.5,-,-
2022,Rīgas,town12,county12,1970,173.5,399.5,2.5,159.8,2,1,0,0,D,154.0,119.0,31.85,1,1,0,0,C,74,26,0,0,13,113,45.0,41.0,37.82,135.0,143.0,0,3.46,21.63,397.0,0.37,0.31,0.97,0.97,20.0,24,0.36,0.31,Gas,-,Gas,-,-,Electricity from the grid,-,202.0,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2022,Rīgas,,county13,1997,242.2,565.38,2.7,209.4,2,1,1,0,F,206.86,192.55,41.79,1,0,0,0,C,75,14,0,0,0,90,117.55,116.86,61.05,109.0,109.0,0,4.22,20.15,819.0,0.25,0.3,0.97,1.2,20.0,25,0.34,0.13,Gas,-,Gas,-,-,-,-,202.0,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0.0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
2022,Rīgas,town29,county11,1990,110.6,239.46,2.6,92.1,2,1,0,0,E,222.4,179.2,14.07,1,0,0,0,C,88,29,0,0,16,134,91.2,88.4,50.89,192.0,202.0,0,0.38,4.08,295.0,0.31,0.32,1.08,1.42,20.0,24,0.36,0.32,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2022,Rīgas,town30,county3,1987,211.9,254.25,2.5,101.7,2,1,0,0,F,317.4,291.0,69.3,1,1,0,0,C,86,26,6,0,0,119,205.0,198.4,70.45,149.0,155.0,0,2.54,24.97,326.0,0.33,0.32,1.14,1.34,20.0,25,0.49,0.08,Electricity from the grid,Gas,Electricity from the grid,Gas,Electricity from the grid,-,-,109.0,202,109,202,109,-,-,1.9,1.1,1.9,1.1,1.9,-,-,0.6,0,0.6,0,0.6,-,-,2.5,1.1,2.5,1.1,2.5,-,-
2022,Rīgas,town31,county24,2009,176.0,338.29,2.67,126.7,1,0,0,0,D,105.0,105.0,7.04,0,1,0,0,C,65,24,6,0,0,95,40.0,10.0,38.1,39.0,160.0,0,0.71,5.57,511.0,0.24,0.27,0.84,1.15,20.0,25,0.48,0.12,Electricity from the grid,Solid biofuel,Electricity from the grid,Solid biofuel,Electricity from the grid,-,-,109.0,40,109,40,109,-,-,1.9,0.2,1.9,0.2,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1.2,2.5,1.2,2.5,-,-
2022,Kurzemes,town32,county25,1983,103.7,222.96,2.15,103.7,2,0,0,0,D,159.0,119.0,11.1,1,0,0,0,C,81,40,0,0,0,122,38.0,37.0,31.93,61.0,249.0,0,0.9,8.67,223.0,0.49,0.3,1.09,0.83,20.5,21.3,0.35,0.26,Solid biofuel,-,Electricity from the grid,Solid biofuel,-,-,-,40.0,-,109,40,-,-,-,0.2,-,1.9,0.2,-,-,-,1.0,-,0.6,1,-,-,-,1.2,-,2.5,1.2,-,-,-
2022,Rīgas,,county21,1966,238.89,542.72,2.49,217.96,2,0,1,0,E,155.0,135.0,28.77,1,1,0,0,C,77,20,6,0,0,104,58.0,51.0,42.96,112.0,117.0,0,4.08,18.71,615.0,0.32,0.28,0.95,1.02,19.1,25,0.46,0.11,Gas,Electricity from the grid,Gas,Electricity from the grid,Electricity from the grid,-,-,202.0,109,202,109,109,-,-,1.1,1.9,1.1,1.9,1.9,-,-,0.0,0.6,0,0.6,0.6,-,-,1.1,2.5,1.1,2.5,2.5,-,-
2022,Vidzemes,town33,county26,1940,123.36,265.22,2.15,123.36,2,0,1,0,D,184.9,160.4,10.03,1,1,0,0,C,73,25,6,0,0,104,87.4,80.9,54.49,68.0,158.0,0,0.49,3.95,296.0,0.32,0.28,0.83,0.91,20.0,25,0.5,0.08,Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,-,-,109.0,0,109,0,109,-,-,1.9,0,1.9,0,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1,2.5,1,2.5,-,-
2022,Rīgas,town34,county11,2009,384.3,625.49,2.45,255.3,2,1,0,0,C,86.0,69.0,17.6,1,0,0,0,B,51,17,0,0,0,67,18.0,19.0,26.09,75.0,75.0,0,1.62,6.36,480.0,0.35,0.37,0.68,0.78,20.5,21.4,0.35,0.29,Gas,-,Gas,-,-,-,-,56.1,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0.0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
2022,Rīgas,town1,county22,2012,139.7,312.43,2.83,110.4,1,0,0,0,D,153.2,124.5,33.25,0,1,0,0,C,83,29,6,0,0,118,41.5,35.2,33.33,147.0,153.0,0,2.73,24.77,411.0,0.26,0.25,1.02,1.26,20.0,25,0.48,0.13,Electricity from the grid,Gas,Electricity from the grid,Gas,Electricity from the grid,-,-,109.0,202,109,202,109,-,-,1.9,1.1,1.9,1.1,1.9,-,-,0.6,0,0.6,0,0.6,-,-,2.5,1.1,2.5,1.1,2.5,-,-
2022,Rīgas,town27,county18,1998,177.5,351.0,2.6,135.0,2,1,0,0,E,133.0,101.0,6.2,1,0,0,0,A,41,32,0,0,0,73,60.0,60.0,59.41,17.0,103.0,0,0.47,3.45,311.0,0.28,0.33,0.67,0.88,20.5,22.3,0.35,0.31,Solid biofuel,-,Solid biofuel,-,-,-,-,40.0,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1.0,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
2022,Rīgas,town3,county3,1985,228.5,393.5,2.5,157.4,2,1,0,0,E,162.4,130.2,32.01,1,0,0,0,C,80,26,0,0,7,113,50.2,49.4,38.56,129.0,133.0,0,3.48,22.08,399.0,0.31,0.3,0.85,0.97,20.0,24,0.36,0.31,Gas,-,Gas,-,-,Electricity from the grid,-,202.0,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2022,Rīgas,,county13,2002,233.3,592.58,2.54,233.3,2,0,1,0,E,147.0,130.0,28.3,1,1,0,0,C,75,16,6,0,0,98,55.0,49.0,42.31,110.0,115.0,0,4.28,18.36,593.0,0.34,0.31,0.91,1.04,20.0,25,0.45,0.11,Electricity from the grid,Gas,Electricity from the grid,Gas,Electricity from the grid,-,-,109.0,202,109,202,109,-,-,1.9,1.1,1.9,1.1,1.9,-,-,0.6,0,0.6,0,0.6,-,-,2.5,1.1,2.5,1.1,2.5,-,-
2022,Rīgas,town18,county27,1920,153.7,339.02,2.3,147.4,2,0,0,0,D,117.0,91.0,7.6,1,0,0,0,B,53,26,0,0,0,79,38.0,38.0,41.76,33.0,121.0,0,0.63,4.28,292.0,0.38,0.33,0.8,0.78,20.5,21.3,0.35,0.27,Solid biofuel,-,Electricity from the grid,Solid biofuel,-,-,-,40.0,-,109,40,-,-,-,0.2,-,1.9,0.2,-,-,-,1.0,-,0.6,1,-,-,-,1.2,-,2.5,1.2,-,-,-
2022,Vidzemes,town35,county28,1975,132.94,345.64,2.6,132.94,2,0,0,1,F,216.7,184.4,12.52,1,0,0,0,C,89,21,0,0,12,122,95.4,94.7,51.74,184.0,204.0,0,0.71,5.34,403.0,0.26,0.27,0.85,1.06,20.0,20,0.36,0.32,Wood/wood waste,-,Electricity from the grid,-,-,Electricity from the grid,-,15.6,-,109,-,-,109,-,1.1,-,1.9,-,-,1.9,-,0.0,-,0.6,-,-,0.6,-,1.1,-,2.5,-,-,2.5,-
2022,Kurzemes,town36,county29,2020,191.3,436.28,2.6,167.8,1,0,0,0,D,109.1,92.1,3.79,0,1,0,0,B,51,17,5,0,20,93,41.1,16.1,44.63,62.0,128.0,0,0.6,3.59,584.0,0.16,0.24,0.63,1.08,20.0,25,0.49,0.1,Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,Electricity from the grid,-,109.0,0,109,0,109,109,-,1.9,0,1.9,0,1.9,1.9,-,0.6,1,0.6,1,0.6,0.6,-,2.5,1,2.5,1,2.5,2.5,-
2022,Rīgas,,county21,1975,225.9,180.25,2.5,192.1,2,0,1,0,D,138.0,107.0,26.93,1,0,0,0,B,64,20,0,0,11,95,43.0,43.0,40.19,113.0,119.0,0,3.5,18.2,460.0,0.26,0.27,0.67,0.83,20.0,20,0.36,0.31,Gas,-,Gas,-,-,Electricity from the grid,-,202.0,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2022,Rīgas,town3,county3,2006,170.5,407.86,2.73,149.4,2,0,0,0,D,141.1,120.5,5.41,0,1,0,0,C,84,21,6,0,0,110,36.5,31.1,30.29,82.0,175.0,0,0.71,4.72,423.0,0.34,0.3,1.0,1.1,20.0,25,0.47,0.13,Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,-,-,109.0,0,109,0,109,-,-,1.9,0,1.9,0,1.9,-,-,0.6,1,0.6,1,0.6,-,-,2.5,1,2.5,1,2.5,-,-
2022,Rīgas,town12,county12,1994,295.4,339.36,2.4,141.4,2,1,0,0,F,196.6,163.5,39.38,1,0,0,0,C,89,26,0,0,9,123,74.5,73.6,45.57,142.0,148.0,0,3.41,24.1,418.0,0.32,0.31,1.03,1.19,20.0,24,0.36,0.29,Gas,-,Gas,-,-,Electricity from the grid,-,202.0,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2022,Rīgas,town12,county12,1976,193.8,285.0,2.4,118.8,2,1,0,0,D,190.8,146.2,38.01,1,0,0,0,C,89,32,0,0,15,136,57.2,54.8,39.12,161.0,170.0,0,3.09,26.03,422.0,0.46,0.31,1.7,1.38,20.0,24,0.36,0.29,Gas,-,Gas,-,-,Electricity from the grid,-,202.0,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2022,Vidzemes,town37,county30,1982,136.6,219.5,2.5,87.8,2,1,0,0,F,317.4,286.2,17.79,1,0,0,0,C,87,21,0,0,15,123,199.2,194.4,69.6,188.0,209.0,0,0.49,5.61,289.0,0.48,0.32,1.68,1.41,20.0,24,0.36,0.31,Wood/wood waste,-,Electricity from the grid,-,-,Electricity from the grid,-,15.6,-,109,-,-,109,-,1.1,-,1.9,-,-,1.9,-,0.0,-,0.6,-,-,0.6,-,1.1,-,2.5,-,-,2.5,-
2022,Rīgas,town22,county13,1963,260.7,501.88,2.33,215.4,2,1,1,0,D,108.8,94.9,31.61,1,1,0,0,B,65,14,6,0,0,85,29.9,23.8,31.51,104.0,108.0,0,5.05,23.43,448.0,0.46,0.27,0.98,0.73,18.6,25,0.45,0.13,Electricity from the grid,Degvieleļļa (kurināmais mazuts),Electricity from the grid,Degvieleļļa (kurināmais mazuts),Electricity from the grid,-,-,109.0,279,109,279,109,-,-,1.9,1.1,1.9,1.1,1.9,-,-,0.6,0,0.6,0,0.6,-,-,2.5,1.1,2.5,1.1,2.5,-,-
2021,Vidzemes,town38,county31,1999,140.5,271.4,2.3,118.0,2,1,1,0,D,151.0,125.1,7.42,1,0,0,0,C,89,22,0,0,12,122,36.1,29.0,28.86,157.0,163.0,0,0.37,3.17,417.0,0.27,0.3,0.99,1.34,19.0,20,0.3,0.23,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2021,Zemgales,town2,county2,2010,256.6,442.0,2.4,184.3,2,0,0,0,C,84.0,69.0,17.0,1,0,0,0,B,53,16,0,0,0,68,16.0,16.0,23.19,76.0,76.0,0,2.6,14.09,383.0,0.32,0.31,0.69,0.75,20.0,21,0.35,0.29,Gas,-,Gas,-,-,-,-,202.0,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0.0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
2021,Vidzemes,town39,county26,1952,158.7,320.5,2.5,128.2,1,1,0,0,D,139.9,118.2,7.13,1,0,0,0,C,86,18,0,0,4,108,32.2,31.9,27.24,150.0,152.0,0,0.32,2.47,453.0,0.21,0.24,0.8,1.11,20.0,20,0.36,0.31,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2021,Vidzemes,town40,county32,1938,154.2,283.99,2.21,128.5,2,1,0,0,F,211.69,173.54,,1,0,0,0,C,83,0,0,0,0,83,90.54,128.69,52.17,16.0,99.0,0,0.43,3.32,362.0,0.3,0.28,0.86,0.79,20.0,27,0.4,0.3,Solid biofuel,-,-,-,-,-,-,40.0,-,-,-,-,-,-,0.2,-,-,-,-,-,-,1.0,-,-,-,-,-,-,1.2,-,-,-,-,-,-
2021,Rīgas,town41,county18,2020,111.2,270.85,2.56,105.8,2,0,1,0,D,138.3,103.2,5.77,1,0,0,0,C,81,33,0,0,0,114,22.2,24.3,21.51,32.0,165.0,0,0.59,5.59,315.0,0.22,0.48,0.74,1.74,20.0,25,0.51,0.43,Electricity from the grid,Solid biofuel,Electricity from the grid,Solid biofuel,-,-,-,109.0,40,109,40,-,-,-,1.9,0.2,1.9,0.2,-,-,-,0.6,1,0.6,1,-,-,-,2.5,1.2,2.5,1.2,-,-,-
2021,Latgales,town42,county33,1963,68.7,153.75,2.5,67.5,1,1,0,0,F,265.6,225.5,0.0,1,0,0,0,C,120,27,0,0,10,83,105.5,182.6,46.78,139.0,145.0,0,1.43,23.27,252.0,0.24,0.26,1.03,1.43,20.0,24,0.36,0.31,Gas,-,Gas,-,-,Electricity from the grid,-,1.1,-,1.1,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2021,Vidzemes,town43,county26,1960,105.9,223.2,2.4,93.0,2,1,0,1,C,117.5,86.1,5.29,1,1,0,0,A,54,25,0,0,10,88,32.1,29.5,37.28,120.0,126.0,0,0.24,2.56,275.0,0.25,0.27,0.77,1.07,20.0,24,0.4,0.33,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2021,Vidzemes,town44,county26,1980,122.9,294.96,2.4,122.9,2,0,0,0,D,135.8,107.0,26.48,1,0,0,0,C,83,23,0,0,6,113,24.0,22.8,22.43,128.0,131.0,0,2.73,22.21,362.0,0.32,0.31,1.02,1.21,18.0,24,0.4,0.33,Gas,-,Gas,-,-,Electricity from the grid,-,202.0,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2021,Kurzemes,town45,county34,1870,134.4,289.2,2.4,120.5,1,1,0,0,E,166.0,136.0,10.0,1,0,0,0,C,89,30,0,0,0,119,47.0,47.0,34.56,33.0,203.0,0,0.82,6.78,390.0,0.41,0.28,1.35,1.05,20.5,21.3,0.35,0.29,Solid biofuel,-,Solid biofuel,-,-,-,-,40.0,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1.0,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
2021,Rīgas,town46,county35,2000,327.5,514.54,2.6,197.9,3,1,0,0,D,135.0,115.0,5.73,1,0,0,0,C,89,14,0,0,6,109,26.0,26.0,22.61,137.0,140.0,0,0.48,2.41,638.0,0.25,0.29,0.85,1.11,20.0,24,0.4,0.35,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2021,Kurzemes,town47,county29,1976,111.02,272.0,2.45,111.02,2,0,0,0,C,105.0,77.0,4.8,1,0,0,0,A,54,28,0,0,0,82,23.0,23.0,29.87,19.0,115.0,0,0.43,3.86,254.0,0.28,0.3,0.66,0.78,20.6,22.3,0.35,0.29,Solid biofuel,-,Solid biofuel,-,-,-,-,40.0,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1.0,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
2021,Vidzemes,town48,county36,1958,132.0,327.23,2.68,122.1,1,1,0,0,D,114.71,97.28,7.65,0,1,0,1,C,77,16,3,0,2,97,20.28,17.71,20.85,0.0,97.0,0,0.0,0.0,464.0,0.29,0.25,1.09,0.96,20.0,25,0.38,0.18,Photovoltaic cells,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Photovoltaic cells,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Photovoltaic cells,Photovoltaic cells,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1
2021,Zemgales,town49,county37,2016,200.5,349.06,2.48,140.7,1,0,1,0,D,120.0,102.2,4.97,1,1,0,0,B,59,18,2,0,0,79,43.2,41.0,42.27,20.0,104.0,0,0.5,3.53,349.0,0.26,0.27,0.71,0.76,20.0,27,0.45,0.14,Solid biofuel,-,Solid biofuel,-,Electricity from the grid,-,-,40.0,-,40,-,109,-,-,0.2,-,0.2,-,1.9,-,-,1.0,-,1,-,0.6,-,-,1.2,-,1.2,-,2.5,-,-
2021,Kurzemes,town8,county8,2010,167.9,399.0,2.8,148.5,2,1,0,0,C,105.0,75.0,5.2,1,0,0,0,B,59,30,0,0,0,89,16.0,16.0,21.33,20.0,125.0,0,0.6,4.19,366.0,0.38,0.36,1.04,1.18,20.3,22.3,0.35,0.33,Solid biofuel,-,Solid biofuel,-,-,-,-,40.0,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1.0,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
2021,Latgales,town42,county33,1955,84.1,179.0,2.5,71.6,1,1,0,0,D,186.8,134.1,7.74,1,0,0,0,C,88,36,0,0,15,139,46.1,47.8,34.38,151.0,166.0,0,0.15,2.15,310.0,0.25,0.27,1.15,1.15,19.0,24,0.4,0.34,Wood/wood waste,-,Wood/wood waste,-,-,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",-,15.6,-,15.6,-,-,0,-,1.1,-,1.1,-,-,0,-,0.0,-,0,-,-,1,-,1.1,-,1.1,-,-,1,-
2021,Vidzemes,town50,county26,1913,178.2,360.32,2.54,141.86,2,1,0,0,D,158.73,98.67,7.32,0,1,0,0,C,76,60,8,0,0,144,22.67,14.73,22.98,145.0,261.0,0,1.49,10.49,395.0,0.38,0.49,1.06,1.37,20.0,25,1.32,1.14,Solid biofuel,-,Electricity from the grid,-,Electricity from the grid,-,-,40.0,-,109,-,109,-,-,0.2,-,1.9,-,1.9,-,-,1.0,-,0.6,-,0.6,-,-,1.2,-,2.5,-,2.5,-,-
2021,Zemgales,town51,county38,1979,145.0,418.6,2.8,149.5,1,1,0,0,F,180.39,162.53,7.22,1,1,0,0,A,48,26,3,0,0,77,114.53,103.39,70.47,24.0,118.0,Jā,0.6,4.01,454.0,0.22,0.29,0.67,0.88,19.0,25,0.33,0.07,Solid biofuel,-,Solid biofuel,-,Electricity from the grid,-,-,40.0,-,40,-,109,-,-,0.2,-,0.2,-,1.9,-,-,1.0,-,1,-,0.6,-,-,1.2,-,1.2,-,2.5,-,-
2021,Vidzemes,town48,county36,1984,177.83,258.83,2.5,103.53,2,1,0,0,E,205.2,169.4,39.98,1,0,0,0,C,88,27,0,0,8,123,81.4,82.2,48.05,142.0,146.0,0,2.5,24.18,341.0,0.33,0.33,1.12,1.38,18.0,24,0.36,0.31,Gas,-,Gas,-,-,Electricity from the grid,-,202.0,-,202,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2021,Kurzemes,town52,county39,1978,116.6,273.92,2.52,108.7,2,0,0,0,D,117.0,96.0,10.0,1,0,0,0,B,65,22,0,0,0,87,31.0,30.0,32.29,68.0,211.0,0,0.83,7.63,277.0,0.35,0.28,0.91,0.85,20.3,22.3,0.35,0.3,Solid biofuel,-,Electricity from the grid,-,-,-,-,40.0,-,109,-,-,-,-,0.2,-,1.9,-,-,-,-,1.0,-,0.6,-,-,-,-,1.2,-,2.5,-,-,-,-
2021,Latgales,town53,county40,1929,148.3,250.4,2.45,102.2,1,1,0,0,E,198.7,177.2,9.6,1,0,0,0,C,84,22,0,0,0,106,93.3,93.2,52.65,32.0,154.0,0,0.54,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Vidzemes,town54,county31,1908,171.1,461.97,2.7,171.1,1,0,0,0,F,217.2,202.5,10.31,1,1,0,0,C,89,10,0,0,6,105,113.5,112.2,56.05,137.0,141.0,0,0.42,2.45,608.0,0.28,0.25,1.02,1.13,20.0,20,0.36,0.33,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2021,Kurzemes,town16,county15,1960,197.5,495.56,2.6,190.6,2,0,0,0,C,80.0,67.0,5.0,1,1,0,0,A,44,13,0,0,0,56,23.0,24.0,34.33,13.0,79.0,0,0.5,2.64,403.0,0.3,0.29,0.66,0.77,20.5,22.7,0.35,0.31,Solid biofuel,-,Solid biofuel,-,-,-,-,40.0,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1.0,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
